index,name,State,gdpperson,gdp
1,コロンビア特別区,DC,233500,1560000000000
2,ニューヨーク,NY,96502,1900000000000
3,マサチューセッツ州,MA,95029,664000000000
4,ワシントン,WA,90034,697000000000
5,カリフォルニア,CA,89540,3500000000000
6,ノースダコタ州,ND,85647,66000000000
7,コネチカット州,CT,85609,309000000000
8,デラウェア州,DE,83922,84000000000
9,アラスカ,AK,79139,58000000000
10,ネブラスカ,NE,78500,154000000000
11,イリノイ州,IL,76825,97300000000
12,ワイオミング州,WY,76577,44000000000
13,コロラド州,CO,75860,441000000000
14,ニュージャージー,NJ,75549,700000000000
15,ミネソタ州,MN,75234,429000000000
16,ニューハンプシャー州,NH,73751,102000000000
17,メリーランド,MD,73313,452000000000
18,テキサス,TX,71274,2100000000000
19,バージニア州,VA,71133,615000000000
20,アイオワ,IA,70683,226000000000
21,サウスダコタ州,SD,70148,63000000000
22,ユタ州,UT,69007,230000000000
23,カンザス,KS,67570,198000000000
24,ペンシルベニア州,PA,67485,875000000000
25,ジョージア,GA,66109,714000000000
26,ハワイ,HI,65857,95000000000
27,オレゴン州,OR,65806,279000000000
28,ネバダ,NV,64983,24000000000
29,オハイオ州,OH,64941,765000000000
30,ノースカロライナ州,NC,64885,685000000000
31,ウィスコンシン,WI,64436,380000000000
32,インディアナ州,IN,64357,438000000000
33,テネシー,TN,62944,439000000000
34,ロードアイランド州,RI,62817,69000000000
35,ミズーリ州,MO,60489,373000000000
36,アリゾナ,AZ,59071,430000000000
37,フロリダ,FL,59046,1300000000000
38,ミシガン州,MI,58935,590000000000
39,バーモント州,VT,58311,38000000000
40,ルイジアナ州,LA,57769,267000000000
41,メイン州,ME,57699,79000000000
42,モンタナ,MT,56130,62000000000
43,オクラホマ,OK,54824,219000000000
44,サウスカロライナ州,SC,54280,282000000000
45,ケンタッキー州,KY,54216,244000000000
46,ニューメキシコ州,NM,54200,115000000000
47,アイダホ,ID,51793,98000000000
48,ウェストバージニア州,WV,51573,92000000000
49,アラバマ州,AL,51086,257000000000
50,アーカンソー,AR,49732,150000000000
51,ミシシッピ州,MS,44060,130000000000
